Number,Line1,Line2,kural_Translation,Explanation,Explanation_translation,adikaram_name,adikaram_translation
1067,இரப்பன் இரப்பாரை எல்லாம் இரப்பின்,கரப்பார் இரவன்மின் என்று.,If beg they must I beg beggers Not to beg from shrinking misers,இரந்து கேட்பதனால் உள்ளதை ஒளிப்பவரிடத்தில் சென்று இரக்க வேண்டுடாம் என்று இரப்பவர் எல்லோரையும் இரந்து வேண்டுகின்றேன்.,"I beseech all beggars and say, ""If you need to beg, never beg of those who give unwillingly.""",இரவச்சம்,The Dread of Mendicancy
1068,இரவென்னும் ஏமாப்பில் தோணி கரவென்னும்,பார்தாக்கப் பக்கு விடும்.,The hapless bark of beggary splits On the rock of refusing hits,இரத்தல் என்னும் காவல் இல்லாத மரக்கலம் உள்ளதை ஒளித்துவைக்கும் தன்மையாகிய வன்னிலம் தாக்கினால் உடைந்து விடும்.,The unsafe raft of begging will split when it strikes on the rock of refusal,இரவச்சம்,The Dread of Mendicancy
1069,இரவுள்ள உள்ளம் உருகும் கரவுள்ள,உள்ளதூஉம் இன்றிக் கெடும்.,The heart at thought of beggars melts; It dies at repulsing insults,"இரத்தலின் கொடுமையை நினைத்தால் உள்ளம் கரைந்து உருகும், உள்ளதை ஒழிக்கும் கொடுமையை நினைத்தால் உருகுமளவும் இல்லாமல் அழியும்.",To think of (the evil of) begging is enough to melt one's heart; but to think of refusal is enough to break it,இரவச்சம்,The Dread of Mendicancy
1070,கரப்பவர்க்கு யாங்கொளிக்கும் கொல்லோ இரப்பவர்,சொல்லாடப் போஒம் உயிர்.,"The word \""No\"" kills the begger's life Where can the niggard's life be safe?","இரப்பவர் இல்லை என்று சொல்கின்ற அளவிலேயே உயிர் போகின்றதே, உள்ளதை இல்லை என்று ஒளிப்பவர்க்கு உயிர் எங்கு ஒளிந்திருக்குமோ.","Saying ""No"" to a beggar takes away his life. (but as that very word will kill the refuser) where then would the latter's life hide itself ?",இரவச்சம்,The Dread of Mendicancy
1071,மக்களே போல்வர் கயவர் அவரன்ன,ஒப்பாரி யாங்கண்ட தில்.,The mean seem men only in form We have never seen such a sham,"மக்களே போல் இருப்பார் கயவர், அவர் மக்களை ஒத்திருப்பது போன்ற ஒப்புமை வேறு எந்த இருவகைப் பொருள்களிடத்திலும் யாம் கண்டதில்லை.",The base resemble men perfectly (as regards form); and we have not seen such (exact) resemblance (among any other species),கயமை,Baseness
1072,நன்றறி வாரிற் கயவர் திருவுடையர்,நெஞ்சத்து அவலம் இலர்.,The base seem richer than the good For no care enters their heart or head,"நன்மை அறிந்தவரை விடக் கயவரே நல்ல பேறு உடையவர், ஏன் என்றால், கயவர் தம் நெஞ்சில் எதைப் பற்றியும் கவலை இல்லாதவர்.",The low enjoy more felicity than those who know what is good; for the former are not troubled with anxiety (as to the good),கயமை,Baseness
1073,தேவர் அனையர் கயவர் அவருந்தாம்,மேவன செய்தொழுக லான்.,The base are like gods; for they too As prompted by their desire do,"கயவரும் தேவரைப் போல் தான் விரும்புகின்றவைகளைச் செய்து மனம் போன போக்கில் நடத்தலால், கயவர் தேவரைப் போன்றவர்.",The base resemble the Gods; for the base act as they like,கயமை,Baseness
1074,அகப்பட்டி ஆவாரைக் காணின் அவர஧ன்,மிகப்பட்டுச் செம்மாக்கும் கீழ்.,"When the base meets a rake so vile Him he will exceed, exult and smile","கீழ் மக்கள் தமக்கு கீழ் பட்டவராய் நடப்பவரைக் கண்டால், அவரை விடத் தாம் மேம்பாடு உடையவராய் இறுமாப்படைவர்.",The base feels proud when he sees persons whose acts meaner than his own,கயமை,Baseness
1075,அச்சமே கீழ்களது ஆசாரம் எச்சம்,அவாவுண்டேல் உண்டாம் சிறிது.,Fear forms the conduct of the low Craving avails a bit below,"கீழ் மக்களின் ஆசாரத்திற்கு காரணமாக இருப்பது அச்சமே, எஞ்சியவற்றில் அவா உண்டானால் அதனாலும் சிறிதளவு ஆசாரம் உண்டாகும்.","(The principle of) behaviour in the mean is chiefly fear; if not, hope of gain, to some extent",கயமை,Baseness
1076,அறைபறை அன்னர் கயவர்தாம் கேட்ட,மறைபிறர்க்கு உய்த்துரைக்க லான்.,The base are like the beaten drum Since other's secrets they proclaim,"கயவர், தாம் கேட்டறிந்த மறைப்பொருளைப் பிறர்க்கு வலிய கொண்டுபோய்ச் சொல்லுவதலால், அறையப்படும் பறை போன்றவர்.","The base are like a drum that is beaten, for they unburden to others the secrets they have heard",கயமை,Baseness
1077,ஈர்ங்கை விதிரார் கயவர் கொடிறுடைக்கும்,கூன்கையர் அல்லா தவர்க்கு.,The base their damp hand will not shake But for fists clenched their jaws to break,கயவர் தம் கன்னத்தை இடித்து உடைக்கும் படி வளைந்த கை உடையவரல்லாத மற்றவர்க்கு உண்ட எச்சில் கையையும் உதற மாட்டார்.,The mean will not (even) shake off (what sticks to) their hands (soon after a meal) to any but those who would break their jaws with their clenched fists,கயமை,Baseness
1078,சொல்லப் பயன்படுவர் சான்றோர் கரும்புபோல்,கொல்லப் பயன்படும் கீழ்.,The good by soft words profits yield The cane-like base when crushed and killed,"அணுகி குறைச் சொல்லுகின்ற அளவிலேயே சான்றோர் பயன்படுவர், கரும்புபோல் அழித்துப் பிழிந்தால் தான் கீழ்மக்கள் பயன்படுவர்.","The great bestow (their alms) as soon as they are informed; (but) the mean, like the sugar-cane, only when they are tortured to death",கயமை,Baseness
1079,உடுப்பதூஉம் உண்பதூஉம் காணின் பிறர்மேல்,வடுக்காண வற்றாகும் கீழ்.,Faults in others the mean will guess On seeing how they eat and dress,"கீழ் மகன் பிறர் உடுப்பதையும், உண்பதையும் கண்டால் அவர் மேல் பொறாமை கொண்டு, வேண்டும் என்றே குற்றம் காண வல்லவனாவான்.","The base will bring an evil (accusation) against others, as soon as he sees them (enjoying) good food",கயமை,Baseness
1080,எற்றிற் குரியர் கயவரொன்று உற்றக்கால்,விற்றற்கு உரியர் விரைந்து.,The base hasten to sell themselves From doom to flit and nothing else,"கயவர், எதற்கு உரியவர், ஒரு துன்பம் வந்தடைந்த காலத்தில் அதற்காக தம்மை பிறர்க்கு விலையாக விற்றுவிடுவதற்கு உரியவர் ஆவர்.",The base will hasten to sell themselves as soon as a calamity has befallen them. For what else are they fitted ?,கயமை,Baseness
1081,அணங்குகொல் ஆய்மயில் கொல்லோ கனங்குழை,மாதர்கொல் மாலும் என் நெஞ்சு.,Is it an angel? A fair peacock Or jewelled belle? To my mind a shock!,"தெய்வப் பெண்ணோ! மயிலோ, கனமான குழை அணிந்த மனிதப் பெண்ணோ, என் நெஞ்சம் மயங்குகின்றதே.","Is this jewelled female a celestial, a choice peahen, or a human being ? My mind is perplexed",தகை அணங்குறுத்தல்,The Pre-marital love
1082,நோக்கினாள் நோக்கெதிர் நோக்குதல் தாக்கணங்கு,தானைக்கொண் டன்ன துடைத்து.,The counter glances of this belle Are armied dart of the Love-Angel,"நோக்கிய அவள் பார்வைக்கு எதிரே நோக்குதல் தானே தாக்கி வருத்தும் அணங்கு, ஒரு சேனையையும் கொண்டு வந்து தாக்கினாற் போன்றது.",This female beauty returning my looks is like a celestial maiden coming with an army to contend against me,தகை அணங்குறுத்தல்,The Pre-marital love
1083,பண்டறியேன் கூற்றென் பதனை இனியறிந்தேன்,பெண்டகையால் பேரமர்க் கட்டு.,Not known before -I spy Demise In woman's guise with battling eyes,"எமன் என்று சொல்லப்படுவதை முன்பு அறியேன், இப்பொழுது கண்டறிந்தேன், அது பெண் தனமையுடன் போர் செய்யும் பெரிய கண்களை உடையது",I never knew before what is called Yama; I see it now; it is the eyes that carry on a great fight with (the help of) female qualities,தகை அணங்குறுத்தல்,The Pre-marital love
1084,கண்டார் உயிருண்ணும் தோற்றத்தால் பெண்டகைப்,பேதைக்கு அமர்த்தன கண்.,This artless dame has darting eyes That drink the life of men who gaze,பெண்தன்மை உடைய இந்தப் பேதைக்குக் கண்கள் கண்டவரின் உயிரை உண்ணும் தோற்றத்தோடு கூடி ஒன்றோடொன்று மாறுபட்டிருந்தன.,These eyes that seem to kill those who look at them are as it were in hostilities with this feminine simplicity,தகை அணங்குறுத்தல்,The Pre-marital love
1085,கூற்றமோ கண்ணோ பிணையோ மடவரல்,நோக்கமிம் மூன்றும் உடைத்து.,"Is it death, eye or doe? All three In winsome woman's look I see","எமனோ. கண்ணோ, பெண்மானோ, இந்த இளம் பெண்ணின் பார்வை இந்த மூன்றன் தன்மையும் உடையதாக இருக்கிறது.","Is it Yama, (a pair of) eyes or a hind ?- Are not all these three in the looks of this maid ?",தகை அணங்குறுத்தல்,The Pre-marital love
1086,கொடும்புருவம் கோடா மறைப்பின் நடுங்கஞர்,செய்யல மன்இவள் கண்.,"If cruel brows unbent, would screen Her eyes won't cause me trembling pain","வளைந்த புருவங்கள் கோணாமல் நேராக இருந்து மறைக்குமானால், இவளுடைய கண்கள் யான் நடுங்கும் படியான துன்பத்தைச் செய்யமாட்டா.","Her eyes will cause (me) no trembling sorrow, if they are properly hidden by her cruel arched eyebrows",தகை அணங்குறுத்தல்,The Pre-marital love
1087,கடாஅக் களிற்றின்மேற் கட்படாம் மாதர்,படாஅ முலைமேல் துகில்.,Vest on the buxom breast of her Looks like rutting tusker's eye-cover,"மாதருடைய சாயாத கொங்கைகளின் மேல் அணிந்த ஆடை, மதம் பிடித்த யானையின் மேல் இட்ட முகப்படாம் போன்றது.",The cloth that covers the firm bosom of this maiden is (like) that which covers the eyes of a rutting elephant,தகை அணங்குறுத்தல்,The Pre-marital love
1088,ஒண்ணுதற் கோஒ உடைந்ததே ஞாட்பினுள்,நண்ணாரும் உட்குமென் பீடு.,Ah these fair brows shatter my might Feared by foemen yet to meet,"போர்க்களத்தில் பகைவரும் அஞ்சுதற்க்கு காரணமான என் வலிமை, இவளுடைய ஒளி பொருந்திய நெற்றிக்குத் தோற்று அழிந்ததே.",On her bright brow alone is destroyed even that power of mine that used to terrify the most fearless,தகை அணங்குறுத்தல்,The Pre-marital love
1089,பிணையேர் மடநோக்கும் நாணும் உடையாட்கு,அணியெவனோ ஏதில தந்து.,Which jewel can add to her beauty With fawn-like looks and modesty?,"பெண்மானைப் போன்ற இளமைப் பார்வையும் நாணமும் உடைய இவளுக்கு, ஒரு தொடர்பும் இல்லாத அணிகளைச் செய்து அணிவது ஏனோ.","Of what use are other jewels to her who is adorned with modesty, and the meek looks of a hind ?",தகை அணங்குறுத்தல்,The Pre-marital love
1090,உண்டார்கண் அல்லது அடுநறாக் காமம்போல்,கண்டார் மகிழ்செய்தல் இன்று.,To the drunk alone is wine delight Nothing delights like love at sight,"கள், தன்னை உண்டவரிடத்தில் அல்லாமல் காமத்தைப் போல் தன்னைக் கண்டவரிடத்தில் மயக்கத்தை உண்டாக்குவதில்லையே.","Unlike boiled honey which yields delight only when it is drunk, love gives pleasure even when looked at",தகை அணங்குறுத்தல்,The Pre-marital love
1091,இருநோக்கு இவளுண்கண் உள்ளது ஒருநோக்கு,நோய்நோக்கொன் றந்நோய் மருந்து.,"Her painted eyes, two glances dart One hurts; the other heals my heart","இவளுடைய மை தீட்டிய கண்களில் உள்ளது இருவகைப்பட்ட நோக்கமாகும், அவற்றுள் ஒரு நோக்கம் நோய் செய்யும் நோக்கம், மற்றொன்று அந் நோய்க்கு மருந்தாகும்.","There are two looks in the dyed eyes of this (fair one); one causes pain, and the other is the cure thereof",குறிப்பறிதல்,Recognition of the Signs 
1092,கண்களவு கொள்ளும் சிறுநோக்கம் காமத்தில்,செம்பாகம் அன்று பெரிது.,Her furtive lightning glance is more Than enjoyment of sexual lore,"கண்ணால் என்னை நோக்கிக் களவு கொள்கின்ற சுருங்கிய பார்வை காமத்தில் நேர்பாதி அன்று, அதைவிடப் பெரிய பகுதியாகும்.",A single stolen glance of her eyes is more than half the pleasure (of sexual embrace),குறிப்பறிதல்,Recognition of the Signs 
1093,நோக்கினாள் நோக்கி இறைஞ்சினாள் அஃதவள்,யாப்பினுள் அட்டிய நீர்.,She looked; looking bowed her head And love-plant was with water fed,"என்னை நோக்கினாள், யான் கண்டதும் நோக்கித் தலைகுனிந்தால், அது அவள் வளர்க்கும் அன்பினுள் வார்க்கின்ற நீராகும்.",She has looked (at men) and stooped (her head); and that (sign) waters as it were (the corn of) our love,குறிப்பறிதல்,Recognition of the Signs 
1094,யான்நோக்கும் காலை நிலன்நோக்கும் நோக்காக்கால்,தான்நோக்கி மெல்ல நகும்.,I look; she droops to earth awhile I turn; she looks with gentle smile,"யான் நோக்கும் போது அவள் நிலத்தை நோக்குவாள், யான் நோக்காத போது அவள் என்னை நோக்கி மெல்லத் தனக்குள் மகிழ்வாள்.","When I look, she looks down; when I do not, she looks and smiles gently",குறிப்பறிதல்,Recognition of the Signs 
1095,குறிக்கொண்டு நோக்காமை அல்லால் ஒருகண்,சிறக்கணித்தாள் போல நகும்,No direct gaze; a side-long glance She darts at me and smiles askance,"என்னை நேராகக் குறித்துப் பார்க்காத அத் தன்மையே அல்லாமல், ஒரு கண்ணைச் சுருக்கினவள் போல் என்னைப் பார்த்து தனக்குள் மகிழ்வாள்.","She not only avoids a direct look at me, but looks as it were with a half-closed eye and smiles",குறிப்பறிதல்,Recognition of the Signs 
1096,உறாஅ தவர்போல் சொலினும் செறாஅர்சொல்,ஒல்லை உணரப் படும்.,Their words at first seem an offence But quick we feel them friendly ones,"புறத்தே அயலார் போல் அன்பில்லாத சொற்களைச் சொன்னாலும், அகத்தே பகையில்லாதவரின் சொல் என்பது விரைவில் அறியப்படும்.","Though they may speak harshly as if they were strangers, the words of the friendly are soon understood",குறிப்பறிதல்,Recognition of the Signs 
1097,செறாஅச் சிறுசொல்லும் செற்றார்போல் நோக்கும்,உறாஅர்போன்று உற்றார் குறிப்பு.,"Harsh little words; offended looks, Are feigned consenting love-lorn tricks","பகை கொள்ளாத கடுஞ்சொல்லும், பகைவர் போல் பார்க்கும் பார்வையும் புறத்தே அயலார் போல் இருந்து அகத்தே அன்பு கொண்டவரின் குறிப்பாகும்.",Little words that are harsh and looks that are hateful are (but) the expressions of lovers who wish to act like strangers,குறிப்பறிதல்,Recognition of the Signs 
1098,அசையியற்கு உண்டாண்டோ ர் ஏஎர்யான் நோக்கப்,பசையினள் பைய நகும்.,What a grace the slim maid has! As I look she slightly smiles,"யான் நோக்கும் போது அதற்காக அன்பு கொண்டவனாய் மெல்லச் சிரிப்பாள், அசையும் மெல்லிய இயல்பை உடைய அவளுக்கு அப்போது ஓர் அழகு உள்ளது.","When I look, the pitying maid looks in return and smiles gently; and that is a comforting sign for me",குறிப்பறிதல்,Recognition of the Signs 
1099,ஏதிலார் போலப் பொதுநோக்கு நோக்குதல்,காதலார் கண்ணே உள.,Between lovers we do discern A stranger's look of unconcern,"புறத்தே அயலார்போல் அன்பில்லாத பொது நோக்கம் கொண்டு பார்த்தல், அகத்தே காதல் கொண்டவரிடம் உள்ள இயல்பாகும்.","Both the lovers are capable of looking at each other in an ordinary way, as if they were perfect strangers",குறிப்பறிதல்,Recognition of the Signs 
1100,கண்ணொடு கண்இணை நோக்கொக்கின் வாய்ச்சொற்கள்,என்ன பயனும் இல.,The words of mouth are of no use When eye to eye agrees the gaze,கண்களோடு கண்கள் நோக்காமல் ஒத்திருந்து அன்பு செய்யுமானால் வாய்ச் சொற்கள் என்ன பயனும் இல்லாமற் போகின்றன.,"The words of the mouths are of no use whatever, when there is perfect agreement between the eyes (of lovers)",குறிப்பறிதல்,Recognition of the Signs 
1101,கண்டுகேட்டு உண்டுயிர்த்து உற்றறியும் ஐம்புலனும்,ஒண்தொடி கண்ணே உள.,In this bangled beauty dwell The joys of sight sound touch taste smell,கண்டும் கேட்டும் உண்டும் முகர்ந்தும் உற்றும் அறிகின்ற ஐந்து புலன்களாகிய இன்பங்களும் ஒளி பொருந்திய வளையல் அணிந்த இவளிடத்தில் உள்ளன.,"The (simultaneous) enjoyment of the five senses of sight, hearing, taste, smell and touch can only be found with bright braceleted (women)",புணர்ச்சி மகிழ்தல்,Rejoicing in the Embrace
1102,பிணிக்கு மருந்து பிறமன் அணியிழை,தன்நோய்க்குத் தானே மருந்து.,The cure for ailment is somewhere For fair maid's ill she is the cure,"நோய்களுக்கு மருந்து வேறு பொருள்களாக இருக்கின்றன, ஆனால் அணிகலன் அணிந்த இவளால் வளர்ந்த நோய்க்கு இவளே மருந்தாக இருக்கின்றாள்.","The remedy for a disease is always something different (from it); but for the disease caused by this jewelled maid, she is herself the cure",புணர்ச்சி மகிழ்தல்,Rejoicing in the Embrace
1103,தாம்வீழ்வார் மென்றோள் துயிலின் இனிதுகொல்,தாமரைக் கண்ணான் உலகு.,Is lotus-eyed lord's heaven so sweet As sleep in lover's arms so soft?,"தாமரைக் கண்ணனுடைய உலகம், தாம் விரும்பும் காதலியரின் மெல்லிய தோள்களில் துயிலும் துயில் போல் இனிமை உடையதோ.",Can the lotus-eyed Vishnu's heaven be indeed as sweet to those who delight to sleep in the delicate arms of their beloved ?,புணர்ச்சி மகிழ்தல்,Rejoicing in the Embrace
1104,நீங்கின் தெறூஉம் குறுகுங்கால் தண்ணென்னும்,தீயாண்டுப் பெற்றாள் இவள்?,Away it burns and cools anear Wherefrom did she get this fire?,"நீங்கினால் சுடுகின்றது, அணுகினால் குளிர்ச்சியாக இருக்கின்றது, இத்தகைய புதுமையானத் தீயை இவள் எவ்விடத்திலிருந்து பெற்றாள்.",From whence has she got this fire that burns when I withdraw and cools when I approach ?,புணர்ச்சி மகிழ்தல்,Rejoicing in the Embrace
1105,வேட் ட பொழுதின் அவையவை போலுமே,தோட் டார் கதுப்பினாள் தோள்.,The arms of my flower-tressed maid Whatever I wish that that accord,மலரணிந்த கூந்தலை உடைய இவளுடைய தோள்கள் விருப்பமான பொருள்களை நினைத்து விரும்பிய பொழுது அவ்வப் பொருள்களைப் போலவே இன்பம் செய்கின்றன.,Each varied form of joy the soul can wish is found,புணர்ச்சி மகிழ்தல்,Rejoicing in the Embrace
1106,உறுதோறு உயிர்தளிர்ப்பத் தீண்டலால் பேதைக்கு,அமிழ்தின் இயன்றன தோள்.,My simple maid has nectar arms Each embrace brings life-thrilling charms,பொருந்து போதெல்லாம் உயிர் தளிர்க்கும் படியாகத் தீண்டுதலால் இவளுக்கு தோள்கள் அமிழ்தத்தால் செய்யப்பட்டிருக்க வேண்டும்.,"The shoulders of this fair one are made of ambrosia, for they revive me with pleasure every time I embrace them",புணர்ச்சி மகிழ்தல்,Rejoicing in the Embrace
1107,தம்மில் இருந்து தமதுபாத்து உண்டற்றால்,அம்மா அரிவை முயக்கு.,Ah the embrace of this fair dame Is like sharing one's food at home,"அழகிய மா நிறம் உடைய இவளுடைய தழுவுதல், தம்முடைய வீட்டிலிருந்து தாம் ஈட்டிய பொருளைப் பகுந்து கொடுத்து உண்டாற் போன்றது.",The embraces of a gold-complexioned beautiful female are as pleasant as to dwell in one's own house and live by one's own (earnings) after distributing (a portion of it in charity),புணர்ச்சி மகிழ்தல்,Rejoicing in the Embrace
1108,வீழும் இருவர்க்கு இனிதே வளியிடை,போழப் படாஅ முயக்கு.,Joy is the fast embrace that doth Not admit e'en air between both,"காற்று இடையறுத்துச் செல்லாதபடி தழுவும் தழுவுதல், ஒருவரை ஒருவர் விரும்பிய காதலர் இருவருக்கும் இனிமை உடையதாகும்.",To ardent lovers sweet is the embrace that cannot be penetrated even by a breath of breeze,புணர்ச்சி மகிழ்தல்,Rejoicing in the Embrace
1109,ஊடல் உணர்தல் புணர்தல் இவைகாமம்,கூடியார் பெற்ற பயன்.,"Sulking, feeling and clasping fast These three are sweets of lover's tryst","ஊடுதல், ஊடலை உணர்ந்து விடுதல், அதன்பின் கூடுதல் ஆகிய இவை காதல் வாழ்வு நிறைவேறப் பெற்றவர் பெற்ற பயன்களாகும்.","Love quarrel, reconciliation and intercourse - these are the advantages reaped by those who marry for lust",புணர்ச்சி மகிழ்தல்,Rejoicing in the Embrace
1110,அறிதோறு அறியாமை கண்டற்றால் காமம்,செறிதோறும் சேயிழை மாட்டு.,As knowledge reveals past ignorance So is the belle as love gets close,"செந்நிற அணிகலன்களை அணிந்த இவளிடம் பொருந்துந்தோறும் காதல் உணர்தல்,நூற் பொருள்களை அறிய அறிய அறியாதமைக் கண்டாற் போன்றது.","As (one's) ignorance is discovered the more one learns, so does repeated intercourse with a welladorned female (only create a desire for more)",புணர்ச்சி மகிழ்தல்,Rejoicing in the Embrace
1111,நன்னீரை வாழி அனிச்சமே நின்னினும்,மென்னீரள் யாம்வீழ் பவள்.,"Soft blessed anicha flower, hail On whom I dote is softer still","அனிச்சப்பூவே நல்ல மென்மை தன்மை பெற்றிறுக்கின்றாய், நீ வாழ்க, யாம் விரும்பும் காதலி உன்னை விட மெல்லியத் தன்மை கொண்டவள்.","May you flourish, O Anicham! you have a delicate nature But my beloved is more delicate than you",நலம் புனைந்து உரைத்தல்,The Praise of her Beauty
1112,மலர்காணின் மையாத்தி நெஞ்சே இவள்கண்,பலர்காணும் பூவொக்கும் என்று.,"You can't liken flowers by many eyed, To her bright eyes, O mind dismayed","நெஞ்சமே! இவளுடைய கண்கள் பலரும் காண்கின்ற மலர்களை ஒத்திருக்கின்றன, என்று நினைத்து ஒத்த மலர்களைக் கண்டால் நீ மயங்குகின்றாய்.","O my soul, fancying that flowers which are seen by many can resemble her eyes, you become confused at the sight of them",நலம் புனைந்து உரைத்தல்,The Praise of her Beauty
1113,முறிமேனி முத்தம் முறுவல் வெறிநாற்றம்,வேலுண்கண் வேய்த்தோ ளவட்கு.,The bamboo-shouldered has pearl-like smiles Fragrant breath and lance-like eyes,"மூங்கில் போன்ற தோளை உடைய இவளுக்குத் தளிரே மேன், முத்தே பல், இயற்கை மணமே மணம், வேலே மை உண்ட கண்.","The complexion of this bamboo-shouldered one is that of a shoot; her teeth, are pearls; her breath,",நலம் புனைந்து உரைத்தல்,The Praise of her Beauty
1114,காணின் குவளை கவிழ்ந்து நிலன்நோக்கும்,மாணிழை கண்ணொவ்வேம் என்று.,Lily droops down to ground and says I can't equal the jewelled-one's eyes,"குவளை மலர்கள் காணும் தன்மைப் பெற்றுக் கண்டால், இவளுடைய கண்களுக்கு தாம் ஒப்பாக வில்லையே என்று தலை கவிழ்ந்து நிலத்தை நோக்கும்.","If the blue lotus could see, it would stoop and look at the ground saying, ""I can never resemble the eyes of this excellent jewelled one.""",நலம் புனைந்து உரைத்தல்,The Praise of her Beauty
1115,அனிச்சப்பூக் கால்களையாள் பெய்தாள் நுகப்பிற்கு,நல்ல படாஅ பறை.,Anicha flower with stem she wears To her breaking waist sad-drum-blares!,"அவள் தன் மென்மை அறியாமல் அனிச்ச மலர்களைக் காம்பு களையாமல் சூடினால், அவற்றால் நொந்து வருத்தும் அவளுடைய இடைக்குப் பறைகள் நல்லனவாய் ஒலியா.",No merry drums will be beaten for the (tender) waist of her who has adorned herself with the anicham without having removed its stem,நலம் புனைந்து உரைத்தல்,The Praise of her Beauty
1116,மதியும் மடந்தை முகனும் அறியா,பதியின் கலங்கிய மீன்.,Stars are confused to know which is The moon and which is woman's face,விண்மீன்கள் திங்களையும் இவளுடைய முகத்தையும் வேறுபாடு கண்டு அறியமுடியாமல் தம் நிலையில் நிற்காமல் கலங்கித் திரிகின்றன.,The stars have become confused in their places not being able to distinguish between the moon and the maid's countenance,நலம் புனைந்து உரைத்தல்,The Praise of her Beauty
1117,அறுவாய் நிறைந்த அவிர்மத஧ க்குப் போல,மறுவுண்டோ மாதர் முகத்து.,Are there spots on the lady's face Just as in moon that changes phase?,குறைந்த இடமெல்லாம் படிப்படியாக நிறைந்து விளங்குகின்ற திங்களிடம் உள்ளது போல் இந்த மாதர் முகத்தில் களங்கம் உண்டோ.இல்லையே.,Could there be spots in the face of this maid like those in the bright full moon ?,நலம் புனைந்து உரைத்தல்,The Praise of her Beauty
1118,மாதர் முகம்போல் ஒளிவிட வல்லையேல்,காதலை வாழி மத஧.,Like my lady's face if you shine All my love to you; hail O moon!,"திங்களே! இம் மாதரின் முகத்தைப் போல உண்ணால் ஒளி வீச முடியுமானால், நீயும் இவள் போல் என் காதலுக்கு உரிமை பெறுவாய்.","If you can indeed shine like the face of women, flourish, O moon, for then would you be worth loving ?",நலம் புனைந்து உரைத்தல்,The Praise of her Beauty
1119,மலரன்ன கண்ணாள் முகமொத்தி யாயின்,பலர்காணத் தோன்றல் மதி.,"Like the face of my flower-eyed one If you look, then shine alone O moon!","திங்களே! மலர்போன்ற கண்களை உடைய இவளுடைய முகத்தை ஒத்திருக்க விரும்பினால், நீ பலரும் காணும்படியாகத் தோன்றாதே.","O moon, if you wish to resemble the face of her whose eyes are like (these) flowers, do not appear so as to be seen by all",நலம் புனைந்து உரைத்தல்,The Praise of her Beauty
1120,அனிச்சமும் அன்னத்தின் தூவியும் மாதர்,அடிக்கு நெருஞ்சிப் பழம்.,The soft flower and the swan's down are Like nettles to the feet of the fair,"அனிச்ச மலரும், அன்னப்பறவையின் இறகும் ஆகிய இவைகள் மாதரின் மெல்லிய அடிகளுக்கு நெருஞ்சிமுள் போன்றவை.","The anicham and the feathers of the swan are to the feet of females, like the fruit of the (thorny) Nerunji",நலம் புனைந்து உரைத்தல்,The Praise of her Beauty
1121,பாலொடு தேன்கலந் தற்றே பணிமொழி,வாலெயிறு ஊறிய நீர்.,Like milk and honey the dew is sweet From her white teeth whose word is soft,மென்மையான மொழிகளைப் பேசு கின்ற இவளுடைய தூய பற்களில் ஊறிய நீர் பாலுடன் தேனைக் கலந்தாற் போன்றதாகும்.,The water which oozes from the white teeth of this soft speeched damsel is like a mixture of milk and honey,காதற் சிறப்புரைத்தல்,"Declaration of Love""s special Excellence"
1122,உடம்பொடு உயிரிடை என்னமற் றன்ன,மடந்தையொடு எம்மிடை நட்பு.,Love between me and this lady Is like bond between soul and body,"இம் மடந்தையோடு எம்மிடையே உள்ள நட்பு முறைகள், உடம்போடு உயிர்க்கு உள்ள தொடர்புகள், எத்தன்மையானவையோ அத்தன்மையானவை.",The love between me and this damsel is like the union of body and soul,காதற் சிறப்புரைத்தல்,"Declaration of Love""s special Excellence"
1123,கருமணியிற் பாவாய்நீ போதாயாம் வீழும்,திருநுதற்கு இல்லை இடம்.,Depart image in my pupil Giving room to my fair-browed belle!,"என் கண்ணின் கருமணியில் உள்ள பாவையே நீ போய் விடு, யாம் விரும்புகின்ற இவளுக்கு என் கண்ணில் இருக்க இடம் இல்லையே.",O you image in the pupil (of my eye)! depart; there is no room for (my) fair-browed beloved,காதற் சிறப்புரைத்தல்,"Declaration of Love""s special Excellence"
1124,வாழ்தல் உயிர்க்கன்னள் ஆயிழை சாதல்,அதற்கன்னள் நீங்கும் இடத்து.,Life with my jewel is existence Death it is her severance,"ஆராய்ந்து அணிகலன்களை அணிந்த இவள் கூடும் போது உயிர்க்கு வாழ்வு போன்றவள், பிரியும் போது உயிர்க்கு சாவு போன்றவள்.","My fair-jewelled one resembles the living soul (when she is in union with me), the dying soul when she leaves me",காதற் சிறப்புரைத்தல்,"Declaration of Love""s special Excellence"
1125,உள்ளுவன் மன்யான் மறப்பின் மறப்பறியேன்,ஒள்ளமர்க் கண்ணாள் குணம்.,Can I forget? I recall always The charms of her bright battling eyes,போர் செய்யும் பண்புகளை உடைய இவளுடைய பண்புகளை யான் மறந்தால் பிறகு நினைக்க முடியும் ஆனால் ஒரு போதும் மறந்ததில்லையே.,"If I had forgotten her who has bright battling eyes, I would have remembered (thee); but I never forget her (Thus says he to her maid)",காதற் சிறப்புரைத்தல்,"Declaration of Love""s special Excellence"
